codigo,municipio,clean,departamento
17495,Norcasia,norcasia,17
17513,Pácora,pacora,17
17524,Palestina,palestina,17
17541,Pensilvania,pensilvania,17
17614,Riosucio,riosucio,17
17616,Risaralda,risaralda,17
17653,Salamina,salamina,17
17662,Samaná,samana,17
17665,San José,san_jose,17
17777,Supía,supia,17
17867,Victoria,victoria,17
17873,Villamaría,villamaria,17
17877,Viterbo,viterbo,17
18001,Florencia,florencia,18
18029,Albania,albania,18
18094,Belén De Los Andaquíes,belen_de_los_andaquies,18
18150,Cartagena Del Chairá,cartagena_del_chaira,18
18205,Curillo,curillo,18
18247,El Doncello,el_doncello,18
18256,El Paujíl,el_paujil,18
18410,La Montañita,la_montanita,18
18460,Milán,milan,18
18479,Morelia,morelia,18
18592,Puerto Rico,puerto_rico,18
18610,San José Del Fragua,san_jose_del_fragua,18
18753,San Vicente Del Caguán,san_vicente_del_caguan,18
18756,Solano,solano,18
18785,Solita,solita,18
18860,Valparaíso,valparaiso,18
19001,Popayán,popayan,19
19022,Almaguer,almaguer,19
19050,Argelia,argelia,19
19075,Balboa,balboa,19
19100,Bolívar,bolivar,19
19110,Buenos Aires,buenos_aires,19
19130,Cajibío,cajibio,19
19137,Caldono,caldono,19
19142,Caloto,caloto,19
19212,Corinto,corinto,19
19256,El Tambo,el_tambo,19
19290,Florencia,florencia,19
19300,Guachené,guachene,19
19355,Inzá,inza,19
19364,Jambaló,jambalo,19
19392,La Sierra,la_sierra,19
19397,La Vega,la_vega,19
19418,López De Micay,lopez_de_micay,19
19450,Mercaderes,mercaderes,19
19455,Miranda,miranda,19
19473,Morales,morales,19
19513,Padilla,padilla,19
19517,Páez,paez,19
19532,Patía,patia,19
19533,Piamonte,piamonte,19
19548,Piendamó - Tunía,piendamo_-_tunia,19
19573,Puerto Tejada,puerto_tejada,19
19585,Puracé,purace,19
19622,Rosas,rosas,19
19693,San Sebastián,san_sebastian,19
19698,Santander De Quilichao,santander_de_quilichao,19
19701,Santa Rosa,santa_rosa,19
19743,Silvia,silvia,19
19760,Sotará Paispamba,sotara_paispamba,19
19780,Suárez,suarez,19
19785,Sucre,sucre,19
19807,Timbío,timbio,19
19809,Timbiquí,timbiqui,19
19821,Toribío,toribio,19
19824,Totoró,totoro,19
19845,Villa Rica,villa_rica,19
20001,Valledupar,valledupar,20
20011,Aguachica,aguachica,20
20013,Agustín Codazzi,agustin_codazzi,20
20032,Astrea,astrea,20
20045,Becerril,becerril,20
20060,Bosconia,bosconia,20
20175,Chimichagua,chimichagua,20
20178,Chiriguaná,chiriguana,20
20228,Curumaní,curumani,20
20238,El Copey,el_copey,20
20250,El Paso,el_paso,20
20295,Gamarra,gamarra,20
20310,González,gonzalez,20
20383,La Gloria,la_gloria,20
20400,La Jagua De Ibirico,la_jagua_de_ibirico,20
20443,Manaure Balcón Del Cesar,manaure_balcon_del_cesar,20
20517,Pailitas,pailitas,20
20550,Pelaya,pelaya,20
20570,Pueblo Bello,pueblo_bello,20
20614,Río De Oro,rio_de_oro,20
20621,La Paz,la_paz,20
20710,San Alberto,san_alberto,20
20750,San Diego,san_diego,20
20770,San Martín,san_martin,20
20787,Tamalameque,tamalameque,20
23001,Montería,monteria,23
23068,Ayapel,ayapel,23
23079,Buenavista,buenavista,23
23090,Canalete,canalete,23
23162,Cereté,cerete,23
23168,Chimá,chima,23
23182,Chinú,chinu,23
23189,Ciénaga De Oro,cienaga_de_oro,23
23300,Cotorra,cotorra,23
23350,La Apartada,la_apartada,23
23417,Lorica,lorica,23
23419,Los Córdobas,los_cordobas,23
23464,Momil,momil,23
23466,Montelíbano,montelibano,23
23500,Moñitos,monitos,23
23555,Planeta Rica,planeta_rica,23
23570,Pueblo Nuevo,pueblo_nuevo,23
23574,Puerto Escondido,puerto_escondido,23
23580,Puerto Libertador,puerto_libertador,23
23586,Purísima De La Concepción,purisima_de_la_concepcion,23
23660,Sahagún,sahagun,23
23670,San Andrés De Sotavento,san_andres_de_sotavento,23
23672,San Antero,san_antero,23
23675,San Bernardo Del Viento,san_bernardo_del_viento,23
23678,San Carlos,san_carlos,23
23682,San José De Uré,san_jose_de_ure,23
23686,San Pelayo,san_pelayo,23
23807,Tierralta,tierralta,23
23815,Tuchín,tuchin,23
23855,Valencia,valencia,23
25001,Agua De Dios,agua_de_dios,25
25019,Albán,alban,25
25035,Anapoima,anapoima,25
25040,Anolaima,anolaima,25
25053,Arbeláez,arbelaez,25
25086,Beltrán,beltran,25
25095,Bituima,bituima,25
25099,Bojacá,bojaca,25
25120,Cabrera,cabrera,25
25123,Cachipay,cachipay,25
25126,Cajicá,cajica,25
25148,Caparrapí,caparrapi,25
25151,Cáqueza,caqueza,25
25154,Carmen De Carupa,carmen_de_carupa,25
25168,Chaguaní,chaguani,25
25175,Chía,chia,25
25178,Chipaque,chipaque,25
25181,Choachí,choachi,25
25183,Chocontá,choconta,25
25200,Cogua,cogua,25
25214,Cota,cota,25
25224,Cucunubá,cucunuba,25
25245,El Colegio,el_colegio,25
25258,El Peñón,el_penon,25
25260,El Rosal,el_rosal,25
25269,Facatativá,facatativa,25
25279,Fómeque,fomeque,25
25281,Fosca,fosca,25
25286,Funza,funza,25
25288,Fúquene,fuquene,25
25290,Fusagasugá,fusagasuga,25
25293,Gachalá,gachala,25
25295,Gachancipá,gachancipa,25
25297,Gachetá,gacheta,25
25299,Gama,gama,25
25307,Girardot,girardot,25
25312,Granada,granada,25
