departamento,municipio,altitud,latitud,longitud
Casanare,Sabanalarga (Casanare),350.333,4.779,-73.026
Casanare,San Luis De Palenque,170.0,5.42,-71.728
Casanare,Sácama,120.0,6.088,-72.191
Casanare,Tauramena,344.2,4.9,-72.72
Casanare,Trinidad,221.5,5.417,-71.667
Casanare,Támara,233.5,5.783,-72.135
Casanare,Villanueva (Casanare),255.0,4.655,-72.917
Casanare,Yopal,386.25,5.405,-72.371
Cauca,Argelia (Cauca),1750.0,2.311,-77.259
Cauca,Balboa (Cauca),1700.0,2.033,-77.222
Cauca,Buenos Aires,751.375,3.0,-76.649
Cauca,Cajibío,1267.5,2.647,-76.667
Cauca,Caldono,293.0,2.881,-76.408
Cauca,Caloto,270.6,3.063,-76.372
Cauca,Corinto,1107.0,3.179,-76.248
Cauca,El Tambo (Cauca),1326.6,2.533,-76.96
Cauca,Guapi,59.625,2.812,-78.03
Cauca,Inzá,2170.0,2.519,-76.11
Cauca,Jambaló,30.0,2.733,-76.333
Cauca,La Sierra,1870.0,2.18,-76.758
Cauca,López,111.667,2.977,-77.288
Cauca,Miranda,944.5,3.252,-76.244
Cauca,Morales (Cauca),1692.0,2.769,-76.624
Cauca,Patía (El Bordo),715.625,2.193,-77.029
Cauca,Piendamó,1830.0,2.648,-76.528
Cauca,Popayán,1537.692,2.471,-76.572
Cauca,Puerto Tejada,983.0,3.263,-76.414
Cauca,Puracé (Coconuco),2422.053,2.303,-76.357
Cauca,Páez (Belalcázar),1726.455,2.735,-76.007
Cauca,Rosas,1625.0,2.247,-76.763
Cauca,Santa Rosa (Cauca),1332.5,1.636,-76.553
Cauca,Santander De Quilichao,636.667,2.991,-76.514
Cauca,Silvia,1894.333,2.66,-76.347
Cauca,Sotará (Paispamba),2443.333,2.238,-76.604
Cauca,Suárez (Cauca),1171.0,2.943,-76.707
Cauca,Timbiquí,33.333,2.811,-77.584
Cauca,Timbío,1820.0,2.335,-76.62
Cauca,Toribío,1782.0,2.993,-76.248
Cauca,Totoró,1867.333,2.505,-76.357
Cauca,Villa Rica,988.0,3.179,-76.463
Cesar,Aguachica,166.7,8.208,-73.623
Cesar,Agustín Codazzi,280.846,9.918,-73.281
Cesar,Astrea,43.333,9.54,-73.881
Cesar,Becerrill,118.667,9.763,-73.268
Cesar,Bosconia,101.875,9.962,-73.864
Cesar,Chimichagua,71.6,9.238,-73.787
Cesar,Chiriguaná,75.0,9.365,-73.541
Cesar,Curumaní,222.667,9.204,-73.539
Cesar,El Copey,110.75,10.204,-74.017
Cesar,El Paso,52.857,9.654,-73.673
Cesar,Gamarra,861.4,8.268,-73.753
Cesar,La Gloria,166.0,8.532,-73.641
Cesar,La Jagua De Ibirico,170.0,9.562,-73.339
Cesar,La Paz (Cesar),505.0,10.35,-73.111
Cesar,Manaure Balcón Del Cesar,1918.0,10.365,-72.998
Cesar,Pailitas,174.75,8.98,-73.614
Cesar,Pelaya,40.0,8.713,-73.703
Cesar,Pueblo Bello,640.0,10.515,-73.585
Cesar,Río De Oro,750.75,8.204,-73.466
Cesar,San Alberto,229.0,7.766,-73.436
Cesar,San Diego,164.0,10.128,-73.277
Cesar,San Martín (Cesar),271.0,7.996,-73.44
Cesar,Tamalameque,26.5,8.864,-73.816
Cesar,Valledupar,270.242,10.343,-73.413
Chocó,Acandí,2.0,8.532,-77.28
Chocó,Alto Baudó (Pie De Pato),40.0,5.521,-76.973
Chocó,Bagadó,90.0,5.412,-76.418
Chocó,Bahía Solano (Mutis),9.0,6.4,-77.443
Chocó,Bojayá (Bellavista),35.0,6.673,-76.978
Chocó,Carmen Del Darién  (Curbaradó),25.0,7.083,-76.917
Chocó,Condoto,61.0,5.084,-76.679
Chocó,Cértegui,77.0,5.375,-76.613
Chocó,El Cantón Del San Pablo (Managrú),64.0,5.334,-76.728
Chocó,El Carmen (Choco),1579.444,5.809,-76.214
Chocó,El Litoral Del San Juán (Docordó),14.5,4.227,-77.08
Chocó,Istmina,38.75,4.901,-76.831
Chocó,Juradó,200.0,7.05,-77.65
Chocó,Lloró,76.0,5.503,-76.544
Chocó,Medio Atrato (Beté),62.5,6.105,-76.868
Chocó,Medio Baudó(Boca De Pepé),31.0,5.19,-76.954
Chocó,Medio San Juan,39.5,4.898,-76.831
Chocó,Nuquí,26.667,5.588,-77.492
Chocó,Nóvita,81.0,4.949,-76.59
Chocó,Quibdó,33.833,5.913,-76.651
Chocó,Rio Quito (Paimadó),44.0,5.554,-76.745
Chocó,Riosucio (Choco),23.167,7.45,-77.205
Chocó,San José Del Palmar,1149.5,4.869,-76.249
Chocó,Sipí,110.0,4.667,-76.65
Chocó,Tadó,93.0,5.268,-76.557
Chocó,Unguía,8.0,8.194,-77.068
Cundinamarca,Anapoima,810.0,4.582,-74.527
Cundinamarca,Anolaima,1882.5,4.788,-74.441
Cundinamarca,Bojacá,2610.0,4.696,-74.334
Cundinamarca,Cabrera (Cundinamarca),1601.0,3.964,-74.453
Cundinamarca,Caparrapí,1235.0,5.419,-74.479
Cundinamarca,Carmen De Carupa,3035.667,5.343,-73.884
Cundinamarca,Chaguaní,1200.0,4.985,-74.581
Cundinamarca,Choachí,2780.0,4.558,-73.963
Cundinamarca,Chocontá,2776.333,5.085,-73.711
Cundinamarca,Chía,2550.0,4.886,-74.054
Cundinamarca,Cota,2570.0,4.833,-74.1
Cundinamarca,Cucunubá,3.0,5.25,-73.77
Cundinamarca,Cáqueza,1696.5,4.4,-73.927
Cundinamarca,El Colegio,1600.0,4.573,-74.405
Cundinamarca,El Peñón (Cundinamarca),1400.0,5.253,-74.294
Cundinamarca,Facatativá,2671.667,4.833,-74.347
Cundinamarca,Funza,2560.0,4.743,-74.176
Cundinamarca,Fusagasugá,1900.0,4.388,-74.33
Cundinamarca,Fómeque,1900.0,4.487,-73.89
Cundinamarca,Fúquene,2580.0,5.467,-73.735
Cundinamarca,Gachalá,1206.571,4.697,-73.491
Cundinamarca,Gachancipá,2750.0,4.983,-73.865
Cundinamarca,Gachetá,1918.0,4.833,-73.63
Cundinamarca,Gama,2175.0,4.765,-73.613
Cundinamarca,Girardot,283.0,4.294,-74.812
Cundinamarca,Guachetá,2690.0,5.386,-73.691
Cundinamarca,Guaduas,289.0,5.199,-74.677
Cundinamarca,Guasca,3070.2,4.816,-73.843
Cundinamarca,Guatavita,2848.333,4.872,-73.765
Cundinamarca,Guayabal De Síquima,2200.0,4.842,-74.462
Cundinamarca,Guayabetal,985.0,4.218,-73.81
Cundinamarca,Gutiérrez,2248.333,4.179,-74.034
Cundinamarca,Jerusalén,297.0,4.562,-74.702
Cundinamarca,Junín,2316.5,4.739,-73.671
Cundinamarca,La Calera,3030.667,4.664,-73.844
Cundinamarca,La Palma,1201.0,5.303,-74.367
Cundinamarca,La Vega,1877.5,4.934,-74.337
Cundinamarca,Lenguazaque,2620.0,5.316,-73.705
Cundinamarca,Machetá,1948.333,5.081,-73.588
Cundinamarca,Madrid,2557.0,4.77,-74.25
Cundinamarca,Manta,2030.0,4.993,-73.445
Cundinamarca,Medina,648.0,4.381,-73.471
Cundinamarca,Mosquera (Cundinamarca),2544.75,4.704,-74.221
Cundinamarca,Nariño (Cundinamarca),283.0,4.393,-74.832
Cundinamarca,Nemocón,2572.0,5.09,-73.881
Cundinamarca,Nilo,461.0,4.311,-74.616
Cundinamarca,Nimaima,620.0,5.125,-74.447
Cundinamarca,Nocaima,1500.0,5.065,-74.382
Cundinamarca,Pacho,63.333,5.169,-74.191
Cundinamarca,Paime,138.0,5.371,-74.155
Cundinamarca,Pandi,812.5,4.188,-74.494
Cundinamarca,Paratebueno,276.25,4.377,-73.282
Cundinamarca,Pasca,2248.0,4.33,-74.356
Cundinamarca,Puerto Salgar,614.75,5.548,-74.631
Cundinamarca,Pulí,398.0,4.646,-74.659
Cundinamarca,Quebradanegra,1107.0,5.138,-74.481
Cundinamarca,Quetame,1240.0,4.314,-73.875
