geo_id,departamento,municipio,altitud,latitud,longitud
13655,bolívar,san-jacinto-del-cauca,204.222,8.284,-74.646
13657,bolívar,san-juan-nepomuceno,72.5,9.948,-75.117
13667,bolívar,san-martín-de-loba,40.0,8.823,-73.966
13670,bolívar,san-pablo-bolívar,160.167,7.552,-73.956
13673,bolívar,santa-catalina,20.0,10.794,-75.261
13688,bolívar,santa-rosa-del-sur,507.5,7.942,-74.138
13744,bolívar,simití,65.667,8.009,-73.906
13780,bolívar,talaigua-nuevo,15.0,9.383,-74.7
13894,bolívar,zambrano,33.0,9.734,-74.872
15022,boyacá,almeida,1834.8,4.95,-73.388
15047,boyacá,aquitania,1437.278,5.503,-72.884
15051,boyacá,arcabuco,2600.0,5.761,-73.444
15087,boyacá,belén-boyacá,2500.0,6.014,-72.806
15090,boyacá,berbeo,1370.0,5.184,-73.087
15092,boyacá,betéitiva,2575.0,5.907,-72.811
15097,boyacá,boavita,1123.333,6.367,-72.607
15104,boyacá,buenavista-boyacá,2200.0,5.515,-73.943
15135,boyacá,campohermoso,1335.167,5.025,-73.143
15162,boyacá,cerinza,2643.0,5.962,-72.938
15172,boyacá,chinavita,1420.667,5.201,-73.354
15176,boyacá,chiquinquirá,2593.0,5.583,-73.35
15180,boyacá,chiscas,2415.0,6.541,-72.502
15183,boyacá,chita,2888.0,6.188,-72.466
15187,boyacá,chivatá,2900.0,5.559,-73.282
15236,boyacá,chivor,1610.0,4.89,-73.353
15232,boyacá,chíquiza,2982.5,5.645,-73.459
15212,boyacá,coper,190.0,5.475,-74.046
15215,boyacá,corrales,2400.0,5.833,-72.867
15218,boyacá,covarachía,2400.0,6.515,-72.733
15223,boyacá,cubará,374.0,7.035,-72.153
15226,boyacá,cuítiva,737.25,5.585,-72.946
15204,boyacá,cómbita,2820.0,5.629,-73.324
15238,boyacá,duitama,2694.333,5.834,-73.062
15244,boyacá,el-cocuy,2969.0,6.397,-72.437
15248,boyacá,el-espino,3035.0,6.487,-72.476
15272,boyacá,firavitoba,2489.0,5.672,-72.984
15293,boyacá,gachantivá,2375.0,5.751,-73.549
15299,boyacá,garagoa,1604.0,5.067,-73.338
15325,boyacá,guayatá,1580.0,4.97,-73.489
15332,boyacá,guicán,3643.0,6.47,-72.374
